x,y,z,t0,t1,t2,t3,xc_px,yc_px,xc,yc,diagonal
0.05,-0.24,0.12,1.7682889320206383,37.7118257390124,81.02561920862155,43.31379346960915,,,,,
0.06,-0.24,0.12,4.036243467926468,35.19606745133599,77.04502010815916,41.84895265682317,,,,,
0.07,-0.24,0.12,6.26020470831196,31.75358835954819,71.46922979463022,39.71564143508203,,,,,
0.1,-0.23,0.12,13.498565675952094,30.52869048164186,69.44917753517718,38.920487053535325,,,,,
0.12,-0.22,0.12,18.61045966596521,30.845047846496456,69.97272354175345,39.12767569525699,,,,,
0.14,-0.21,0.12,23.690067525979785,27.646414129903256,64.62042416427091,36.97401003436767,,,,,
0.15,-0.2,0.12,26.869897645844013,31.75358835954819,71.46922979463022,39.71564143508203,,,,,
0.16,-0.19,0.12,30.100907546212238,33.94815507832919,75.04100904341297,41.09285396508378,145.0,-275.0,2.61,4.95,73.38937252763509
0.17,-0.18,0.12,33.36342295838328,34.95263530875019,76.65563066803891,41.70299535928872,160.0,-264.0,2.88,4.752,72.80109889280519
0.18,-0.17,0.12,36.63657704161671,34.95263530875019,76.65563066803891,41.70299535928872,178.0,-249.0,3.204,4.482,72.78049189171504
0.19,-0.16,0.12,39.89909245378776,33.94815507832919,75.04100904341297,41.09285396508378,191.0,-235.0,3.438,4.23,72.83543093852057
0.2,-0.15,0.12,43.13010235415598,31.75358835954819,71.46922979463022,39.71564143508203,208.0,-222.0,3.744,3.996,75.23961722390672
0.22,-0.12,0.12,51.389540334034784,30.845047846496456,69.97272354175345,39.12767569525699,236.0,-183.0,4.248,3.294,73.17103251970687
0.23,-0.1,0.12,56.50143432404791,30.52869048164186,69.44917753517718,38.920487053535325,259.0,-140.0,4.662,2.52,74.52516353554684
0.24,-0.07,0.12,63.73979529168804,31.75358835954819,71.46922979463022,39.71564143508203,275.0,-97.0,4.95,1.746,74.94664769020693
0.24,-0.06,0.12,65.96375653207352,35.19606745133599,77.04502010815916,41.84895265682317,272.0,-86.0,4.896,1.548,73.7360156233031
0.24,-0.05,0.12,68.23171106797935,37.7118257390124,81.02561920862155,43.31379346960915,273.0,-68.0,4.914,1.224,73.40980860893181
0.24,-0.04,0.12,70.53767779197437,39.59941263885652,83.96012566100063,44.36071302214412,273.0,-54.0,4.914,0.972,74.68600939935136
0.24,-0.03,0.12,72.8749836510982,40.98889311067623,86.0916434521516,45.10275034147537,272.0,-40.0,4.896,0.72,74.30343195303969
0.24,-0.02,0.12,75.23635830927383,41.94703213784924,87.54730057491714,45.6002684370679,273.0,-17.0,4.914,0.306,73.78346698278686
0.24,-0.01,0.12,77.61405596961119,42.509901495046414,88.39704037083692,45.8871388757905,273.0,-6.0,4.914,0.108,74.88658090739622
0.24,0.0,0.12,80.0,42.69567001585551,88.6766085021249,45.98093848626939,272.0,11.0,4.896,-0.198,74.81310045707235
0.24,0.01,0.12,82.38594403038881,42.509901495046414,88.39704037083692,45.8871388757905,271.0,25.0,4.878,-0.45,75.92759709091287
0.24,0.02,0.12,84.76364169072617,41.94703213784924,87.54730057491714,45.6002684370679,270.0,35.0,4.86,-0.63,75.07329751649384
0.24,0.03,0.12,87.1250163489018,40.98889311067623,86.0916434521516,45.10275034147537,267.0,53.0,4.806,-0.954,75.66372975210778
0.24,0.04,0.12,89.46232220802563,39.59941263885652,83.96012566100063,44.36071302214412,267.0,65.0,4.806,-1.17,77.15568676384133
0.24,0.05,0.12,91.76828893202064,37.7118257390124,81.02561920862155,43.31379346960915,267.0,81.0,4.806,-1.458,73.7563556583431
0.24,0.06,0.12,94.03624346792648,35.19606745133599,77.04502010815916,41.84895265682317,265.0,99.0,4.77,-1.782,75.6042326857432
0.24,0.07,0.12,96.26020470831196,31.75358835954819,71.46922979463022,39.71564143508203,263.0,115.0,4.734,-2.07,72.42237223399962
0.23,0.1,0.12,103.4985656759521,30.52869048164186,69.44917753517718,38.920487053535325,246.0,158.0,4.428,-2.844,73.35529974037323
0.22,0.12,0.12,108.6104596659652,30.845047846496456,69.97272354175345,39.12767569525699,228.0,188.0,4.104,-3.384,74.09453421137081
0.21,0.14,0.12,113.6900675259798,27.646414129903256,64.62042416427091,36.97401003436767,210.0,215.0,3.78,-3.87,73.08214556237385
0.2,0.15,0.12,116.86989764584402,31.75358835954819,71.46922979463022,39.71564143508203,198.0,224.0,3.564,-4.032,72.27724399837061
0.19,0.16,0.12,120.10090754621224,33.94815507832919,75.04100904341297,41.09285396508378,178.0,240.0,3.204,-4.32,73.16419889536138
0.18,0.17,0.12,123.3634229583833,34.95263530875019,76.65563066803891,41.70299535928872,157.0,258.0,2.826,-4.644,72.44308110509934
0.17,0.18,0.12,126.63657704161672,34.95263530875019,76.65563066803891,41.70299535928872,140.0,270.0,2.52,-4.86,73.00684899377592
0.16,0.19,0.12,129.89909245378777,33.94815507832919,75.04100904341297,41.09285396508378,126.0,280.0,2.268,-5.04,73.02739212103907
0.15,0.2,0.12,133.13010235415598,31.75358835954819,71.46922979463022,39.71564143508203,,,,,
0.12,0.22,0.12,141.3895403340348,30.845047846496456,69.97272354175345,39.12767569525699,,,,,
0.1,0.23,0.12,146.50143432404792,30.52869048164186,69.44917753517718,38.920487053535325,,,,,
0.07,0.24,0.12,153.73979529168804,31.75358835954819,71.46922979463022,39.71564143508203,,,,,
0.06,0.24,0.12,155.96375653207355,35.19606745133599,77.04502010815916,41.84895265682317,,,,,
0.05,0.24,0.12,158.23171106797935,37.7118257390124,81.02561920862155,43.31379346960915,,,,,
0.08,0.23,0.12,150.82099197418927,39.3957511582537,83.64566045464798,44.249909296394286,,,,,
0.07,0.23,0.12,153.07248693585296,42.3232210621132,88.11566046688534,45.79243940477216,,,,,
0.06,0.23,0.12,155.37912601136833,44.68476135705821,91.64265138016734,46.95789002310912,,,,,
0.05,0.23,0.12,157.73522627210758,46.58988389273451,94.43631755781016,47.84643366507564,,,,,
0.08,0.22,0.12,150.01689347810003,47.60016987455701,95.89897449168244,48.29880461712544,,,,,
0.07,0.22,0.12,152.34987578006988,50.05405478864742,99.39694906527988,49.34289427663245,,,,,
0.06,0.22,0.12,154.74488129694222,52.114186924153806,102.27339679989036,50.15920987573656,,,,,
0.05,0.22,0.12,157.19573393471325,53.81998302307632,104.61314323018884,50.7931602071125,,,,,
0.07,0.21,0.12,151.56505117707798,56.7056852390155,108.4839492322603,51.77826399324479,,,,,
0.06,0.21,0.12,154.05460409907715,58.64768953603138,111.0265266284496,52.37883709241823,-44.0,293.0,-0.792,-5.274,79.92496481075234
0.05,0.21,0.12,156.60750224624888,60.27666668172127,113.12022495664802,52.84355827492675,-53.0,288.0,-0.954,-5.184,79.32212806020776
0.07,0.2,0.12,150.70995378081128,62.77770655973522,116.26487668937423,53.48717012963903,-13.0,276.0,-0.234,-4.968,78.26237921249263
0.06,0.2,0.12,153.30075576600638,64.68349480271478,118.60383497722978,53.920340174515005,,,,,
0.05,0.2,0.12,155.96375653207355,66.29564995849192,120.5434783691598,54.24782841066786,-50.0,269.0,-0.9,-4.842,79.61155694998057
0.07,0.19,0.12,149.77514056883192,68.4987990973867,123.13610137485075,54.63730227746405,-8.0,257.0,-0.144,-4.626,77.87810988975015
0.06,0.19,0.12,152.47443162627712,70.4174211158999,125.33897041744208,54.92154930154217,-31.0,256.0,-0.558,-4.608,78.77182237323191
0.05,0.19,0.12,155.25643716352926,72.05092299080442,127.1739835130118,55.12306052220736,-53.0,251.0,-0.954,-4.518,80.7093550959243
0.06,0.18,0.12,151.56505117707798,75.96397379623532,131.41753867131018,55.45356487507486,-25.0,239.0,-0.45,-4.302,78.71467461661771
0.05,0.18,0.12,154.47588900324575,77.64779647472515,133.17725543248264,55.52945895775749,-43.0,233.0,-0.774,-4.194,78.89233169326408
0.06,0.17,0.12,150.55996517182382,81.39694562718014,136.9516808202597,55.55473519307953,-25.0,222.0,-0.45,-3.996,79.60527620704548
0.05,0.17,0.12,153.6104596659652,83.15599205880758,138.6542090297266,55.498216970918975,-41.0,216.0,-0.738,-3.888,80.26207074328447
0.06,0.16,0.12,149.44395478041653,86.76615186515883,142.01181052023685,55.24565865507803,-22.0,202.0,-0.396,-3.636,76.48529270389177
0.05,0.16,0.12,152.64597536373867,88.62367714064925,143.66804214062938,55.044364999980125,-38.0,200.0,-0.684,-3.6,80.1311425102625
0.06,0.15,0.12,148.19859051364818,92.10497830575515,146.6422365812282,54.537258275473015,-22.0,185.0,-0.396,-3.33,76.48529270389177
0.05,0.15,0.12,151.56505117707798,94.08380395514152,148.2577740429466,54.17397008780505,-34.0,183.0,-0.612,-3.294,79.64923100695951
0.06,0.14,0.12,146.80140948635182,97.43368320999473,150.8697462877992,53.43606307780449,-14.0,168.0,-0.252,-3.024,78.0
0.05,0.14,0.12,150.34617594194668,99.55673522845954,152.44580322609056,52.889067997631024,-26.0,165.0,-0.468,-2.97,76.96752561957543
0.06,0.13,0.12,145.22485943116808,102.76044112817608,154.70883321324737,51.94839208507127,-18.0,154.0,-0.324,-2.772,78.54934754662193
0.05,0.13,0.12,148.9624889745782,105.05080683913772,156.24257846284698,51.19177162370925,-27.0,146.0,-0.486,-2.628,79.20227269466452
0.06,0.12,0.12,143.43494882292202,108.08108375954072,158.165291207637,50.084207448096286,-15.0,134.0,-0.27,-2.412,78.77182237323191
0.05,0.12,0.12,147.38013505195957,110.56165427596392,159.6498794523689,49.08822517640501,-24.0,131.0,-0.432,-2.358,79.30952023559341
0.06,0.11,0.12,141.3895403340348,113.3781308978084,161.23908684547888,47.86095594767048,-16.0,119.0,-0.288,-2.142,78.43468620451031
0.05,0.11,0.12,145.55604521958347,116.07086228602692,162.6635340415101,46.59267175548318,-27.0,111.0,-0.486,-1.998,78.92401408950256
0.05,0.1,0.12,143.43494882292202,121.54446694984355,165.2760867370148,43.73161978717124,-25.0,97.0,-0.45,-1.746,79.12016177940993
0.06,0.1,0.12,139.03624346792648,118.61961415120756,163.92704753857686,45.30743338736932,-9.0,110.0,-0.162,-1.98,77.62087348130012
0.07,0.1,0.12,135.00797980144134,115.32537028508844,162.27841132779272,46.953041042704285,2.0,113.0,0.036,-2.034,76.2954782408499
0.08,0.1,0.12,131.34019174590992,111.720576938281,160.31616249362438,48.59558555534336,16.0,114.0,0.288,-2.052,76.53103945458993
0.09,0.1,0.12,128.01278750418334,107.8600756956438,158.0291339974189,50.16905830177512,27.0,121.0,0.486,-2.178,77.05841939723393
0.1,0.1,0.12,125.0,103.7921505444392,155.40834861469415,51.616198070254974,43.0,120.0,0.774,-2.16,76.10519036176179
0.09,0.11,0.12,130.71059313749964,103.3776328317195,155.12900328134117,51.75137044962168,31.0,129.0,0.558,-2.322,86.20904824900923
0.08,0.11,0.12,133.9726266148964,106.98322596997389,157.48263263254333,50.49940666256946,15.0,127.0,0.27,-2.286,79.63039620647382
0.07,0.11,0.12,137.52880770915152,110.33228740803456,159.51595664743394,49.18366923939941,3.0,121.0,0.054,-2.178,79.42921376924235
0.07,0.12,0.12,139.74356283647074,105.26283824054433,156.3810463850317,51.11820814448741,2.0,136.0,0.036,-2.448,86.83317338436964
0.08,0.12,0.12,136.30993247402023,102.1486369439698,154.28731058245563,52.13867363848584,12.0,142.0,0.216,-2.556,77.46612162745726
0.09,0.12,0.12,133.13010235415598,98.77760954436248,151.87452426188213,53.09691471751963,25.0,146.0,0.45,-2.628,76.6550715869472
0.1,0.12,0.12,130.19442890773482,95.18431288599794,149.13285255025232,53.948539664254376,37.0,152.0,0.666,-2.736,76.23647421018367
0.11,0.11,0.12,125.0,95.5546366515404,149.42357256751137,53.86893591597097,56.0,138.0,1.008,-2.484,86.09297300012354
0.12,0.1,0.12,119.8055710922652,95.18431288599794,149.13285255025232,53.948539664254376,72.0,126.0,1.296,-2.268,85.15867542417507
0.13,0.09,0.12,114.69515353123396,94.08380395514152,148.2577740429466,54.17397008780505,86.0,112.0,1.548,-2.016,75.96051605933177
0.13,0.08,0.12,111.6075022462489,97.24366133222938,150.7256931098296,53.482031777600206,86.0,105.0,1.548,-1.89,77.4919350642375
0.13,0.07,0.12,108.30075576600638,100.14660790798168,152.87285289520293,52.72624498722122,86.0,92.0,1.548,-1.656,78.18567643756751
0.13,0.06,0.12,104.77514056883192,102.76044112817608,154.70883321324737,51.94839208507127,88.0,79.0,1.584,-1.422,76.96752561957543
0.13,0.05,0.12,101.03751102542182,105.05080683913772,156.24257846284698,51.19177162370925,86.0,60.0,1.548,-1.08,77.17512552629896
0.13,0.04,0.12,97.10272896905238,106.98322596997389,157.48263263254333,50.49940666256946,85.0,53.0,1.53,-0.954,76.8505042273634
0.13,0.03,0.12,92.9946167919165,108.5252951310455,158.43702908303507,49.91173395198957,88.0,34.0,1.584,-0.612,76.69419795525604
0.13,0.02,0.12,88.7461622625552,109.648906282437,159.11290525938568,49.463998976948666,87.0,21.0,1.566,-0.378,86.31338250816034
0.13,0.01,0.12,84.39870535499553,110.33228740803456,159.51595664743394,49.18366923939941,87.0,11.0,1.566,-0.198,76.48529270389177
0.13,0.0,0.12,80.0,110.56165427596392,159.6498794523689,49.08822517640501,88.0,2.0,1.584,-0.036,76.60939890117922
0.13,-0.01,0.12,75.60129464500447,110.33228740803456,159.51595664743394,49.18366923939941,86.0,-6.0,1.548,0.108,84.62860036654276
0.13,-0.02,0.12,71.2538377374448,109.648906282437,159.11290525938568,49.463998976948666,85.0,-22.0,1.53,0.396,84.59905436823747
0.13,-0.03,0.12,67.0053832080835,108.5252951310455,158.43702908303507,49.91173395198957,86.0,-36.0,1.548,0.648,75.96051605933177
0.13,-0.04,0.12,62.89727103094762,106.98322596997389,157.48263263254333,50.49940666256946,91.0,-46.0,1.638,0.828,74.63243262818116
0.13,-0.05,0.12,58.96248897457818,105.05080683913772,156.24257846284698,51.19177162370925,87.0,-61.0,1.566,1.098,76.48529270389177
0.13,-0.06,0.12,55.224859431168085,102.76044112817608,154.70883321324737,51.94839208507127,93.0,-70.0,1.674,1.26,75.95393340703298
0.13,-0.07,0.12,51.699244233993625,100.14660790798168,152.87285289520293,52.72624498722122,90.0,-87.0,1.62,1.566,76.16429609731846
0.13,-0.08,0.12,48.3924977537511,97.24366133222938,150.7256931098296,53.482031777600206,92.0,-101.0,1.656,1.818,77.0
0.13,-0.09,0.12,45.30484646876603,94.08380395514152,148.2577740429466,54.17397008780505,94.0,-113.0,1.692,2.034,76.10519036176179
0.13,-0.1,0.12,42.4314079711725,90.69532313946664,145.4582624774506,54.76293933798397,95.0,-129.0,1.71,2.322,75.4254598925323
0.12,-0.11,0.12,37.48955292199916,91.39716985465594,146.0511983670063,54.65402851235038,80.0,-142.0,1.44,2.556,76.48529270389177
0.11,-0.12,0.12,32.510447078000844,91.39716985465594,146.0511983670063,54.65402851235038,65.0,-155.0,1.17,2.79,77.79460135510689
0.1,-0.13,0.12,27.56859202882749,90.69532313946664,145.4582624774506,54.76293933798397,46.0,-168.0,0.828,3.024,78.29431652425353
0.09,-0.14,0.12,22.7352262721076,89.30875964113709,144.2666903041677,54.95793066303061,30.0,-182.0,0.54,3.276,78.54934754662193
0.08,-0.14,0.12,19.744881296942214,92.28288469075476,146.78969941542863,54.50681472467387,13.0,-183.0,0.234,3.294,81.02468759581859
0.07,-0.14,0.12,16.56505117707799,94.99981352443632,148.98730937395703,53.98749584952071,-3.0,-183.0,-0.054,3.294,81.68843247363729
0.06,-0.14,0.12,13.198590513648185,97.43368320999473,150.8697462877992,53.43606307780449,-18.0,-175.0,-0.324,3.15,82.07313811473277
0.05,-0.14,0.12,9.653824058053305,99.55673522845954,152.44580322609056,52.889067997631024,-29.0,-172.0,-0.522,3.096,81.39410298049853
0.06,-0.13,0.12,14.775140568831915,102.76044112817608,154.70883321324737,51.94839208507127,-16.0,-160.0,-0.288,2.88,79.98124780221924
0.05,-0.13,0.12,11.037511025421807,105.05080683913772,156.24257846284698,51.19177162370925,-24.0,-152.0,-0.432,2.736,82.73451516749222
0.06,-0.12,0.12,16.56505117707799,108.08108375954072,158.165291207637,50.084207448096286,-12.0,-139.0,-0.216,2.502,81.83520025025906
0.05,-0.12,0.12,12.61986494804043,110.56165427596392,159.6498794523689,49.08822517640501,-23.0,-137.0,-0.414,2.466,80.65977932030313
0.06,-0.11,0.12,18.61045966596521,113.3781308978084,161.23908684547888,47.86095594767048,-12.0,-123.0,-0.216,2.214,81.40024569987489
0.05,-0.11,0.12,14.443954780416531,116.07086228602692,162.6635340415101,46.59267175548318,-23.0,-116.0,-0.414,2.088,82.97590011563598
0.05,-0.1,0.12,16.56505117707799,121.54446694984355,165.2760867370148,43.73161978717124,-19.0,-102.0,-0.342,1.836,80.60397012554654
0.06,-0.1,0.12,20.96375653207352,118.61961415120756,163.92704753857686,45.30743338736932,-4.0,-115.0,-0.072,2.07,77.6659513557904
0.07,-0.1,0.12,24.992020198558663,115.32537028508844,162.27841132779272,46.953041042704285,8.0,-116.0,0.144,2.088,77.02596964660685
0.08,-0.1,0.12,28.659808254090088,111.720576938281,160.31616249362438,48.59558555534336,24.0,-120.0,0.432,2.16,76.55716818169282
0.09,-0.1,0.12,31.987212495816657,107.8600756956438,158.0291339974189,50.16905830177512,39.0,-120.0,0.702,2.16,76.21679604916491
0.1,-0.1,0.12,35.0,103.7921505444392,155.40834861469415,51.616198070254974,52.0,-119.0,0.936,2.142,76.15773105863909
0.09,-0.11,0.12,29.28940686250036,103.3776328317195,155.12900328134117,51.75137044962168,36.0,-132.0,0.648,2.376,75.76938695805846
0.08,-0.11,0.12,26.02737338510361,106.98322596997389,157.48263263254333,50.49940666256946,23.0,-129.0,0.414,2.322,79.62411694957753
0.07,-0.11,0.12,22.47119229084849,110.33228740803456,159.51595664743394,49.18366923939941,7.0,-126.0,0.126,2.268,81.12336284942828
0.07,-0.12,0.12,20.25643716352927,105.26283824054433,156.3810463850317,51.11820814448741,12.0,-144.0,0.216,2.592,76.8505042273634
0.08,-0.12,0.12,23.690067525979785,102.1486369439698,154.28731058245563,52.13867363848584,22.0,-144.0,0.396,2.592,78.29431652425353
0.09,-0.12,0.12,26.86989764584402,98.77760954436248,151.87452426188213,53.09691471751963,37.0,-147.0,0.666,2.646,77.87810988975015
0.1,-0.12,0.12,29.80557109226519,95.18431288599794,149.13285255025232,53.948539664254376,51.0,-150.0,0.918,2.7,76.89603370785778
0.11,-0.11,0.12,35.0,95.5546366515404,149.42357256751137,53.86893591597097,71.0,-135.0,1.278,2.43,75.92759709091287
0.12,-0.1,0.12,40.1944289077348,95.18431288599794,149.13285255025232,53.948539664254376,82.0,-124.0,1.476,2.232,76.79192665899195
0.12,-0.09,0.12,43.13010235415598,98.77760954436248,151.87452426188213,53.09691471751963,81.0,-113.0,1.458,2.034,79.22752047110903
0.12,-0.08,0.12,46.30993247402021,102.1486369439698,154.28731058245563,52.13867363848584,77.0,-97.0,1.386,1.746,78.00640999302557
0.12,-0.07,0.12,49.74356283647073,105.26283824054433,156.3810463850317,51.11820814448741,76.0,-84.0,1.368,1.512,77.10382610480494
0.12,-0.06,0.12,53.43494882292201,108.08108375954072,158.165291207637,50.084207448096286,72.0,-76.0,1.296,1.368,77.23341245859851
0.12,-0.05,0.12,57.38013505195957,110.56165427596392,159.6498794523689,49.08822517640501,73.0,-62.0,1.314,1.116,77.10382610480494
0.12,-0.04,0.12,61.56505117707799,112.66261880705817,160.84501499283402,48.18239618577587,72.0,-50.0,1.296,0.9,77.3692445355388
0.12,-0.03,0.12,65.96375653207352,114.3444850315014,161.76091583812632,47.41643080662492,71.0,-38.0,1.278,0.684,77.79460135510689
0.12,-0.02,0.12,70.53767779197437,115.57291870009966,162.40707821881256,46.83415951871289,71.0,-27.0,1.278,0.486,77.07788269017254
0.12,-0.01,0.12,75.23635830927383,116.32127325085426,162.79131414791703,46.47004089706277,70.0,-12.0,1.26,0.216,86.28441342444185
0.12,0.0,0.12,80.0,116.5726543201047,162.918789672034,46.3461353519293,72.0,-2.0,1.296,0.036,76.60939890117922
0.12,0.01,0.12,84.76364169072617,116.32127325085426,162.79131414791703,46.47004089706277,71.0,9.0,1.278,-0.162,86.55634003352961
0.12,0.02,0.12,89.46232220802563,115.57291870009966,162.40707821881256,46.83415951871289,69.0,19.0,1.242,-0.342,86.31338250816034
0.12,0.03,0.12,94.03624346792648,114.3444850315014,161.76091583812632,47.41643080662492,74.0,39.0,1.332,-0.702,75.8023746329889
0.12,0.04,0.12,98.434948822922,112.66261880705817,160.84501499283402,48.18239618577587,72.0,49.0,1.296,-0.882,76.8505042273634
0.12,0.05,0.12,102.61986494804044,110.56165427596392,159.6498794523689,49.08822517640501,74.0,54.0,1.332,-0.972,76.15773105863909
0.12,0.06,0.12,106.565051177078,108.08108375954072,158.165291207637,50.084207448096286,71.0,66.0,1.278,-1.188,86.4060183089118
0.12,0.07,0.12,110.25643716352928,105.26283824054433,156.3810463850317,51.11820814448741,70.0,82.0,1.26,-1.476,86.33075929238663
0.12,0.08,0.12,113.6900675259798,102.1486369439698,154.28731058245563,52.13867363848584,75.0,93.0,1.35,-1.674,76.53757247260981
0.12,0.09,0.12,116.86989764584402,98.77760954436248,151.87452426188213,53.09691471751963,72.0,110.0,1.296,-1.98,85.70297544426332
0.11,0.1,0.12,122.27368900609376,99.55673522845954,152.44580322609056,52.889067997631024,56.0,127.0,1.008,-2.286,75.32595834106593
0.1,0.11,0.12,127.72631099390628,99.55673522845954,152.44580322609056,52.889067997631024,42.0,136.0,0.756,-2.448,86.09297300012354
0.11,0.09,0.12,119.28940686250036,103.3776328317195,155.12900328134117,51.75137044962168,55.0,112.0,0.99,-2.016,76.79192665899195
0.11,0.08,0.12,116.0273733851036,106.98322596997389,157.48263263254333,50.49940666256946,57.0,97.0,1.026,-1.746,88.64536084872124
0.11,0.07,0.12,112.47119229084848,110.33228740803456,159.51595664743394,49.18366923939941,52.0,85.0,0.936,-1.53,86.58521813797087
0.11,0.06,0.12,108.6104596659652,113.3781308978084,161.23908684547888,47.86095594767048,55.0,70.0,0.99,-1.26,86.64871608973787
0.11,0.05,0.12,104.44395478041652,116.07086228602692,162.6635340415101,46.59267175548318,50.0,57.0,0.9,-1.026,77.87810988975015
0.11,0.04,0.12,99.98310652189998,118.36017428389415,163.80218537193858,45.44201108804442,54.0,45.0,0.972,-0.81,77.02596964660685
0.11,0.03,0.12,95.25511870305778,120.19852829231576,164.66865798218828,44.470129689872536,48.0,34.0,0.864,-0.612,87.13208364316786
0.11,0.02,0.12,90.30484646876604,121.54446694984358,165.2760867370148,43.73161978717121,56.0,26.0,1.008,-0.468,86.21484790916237
0.11,0.01,0.12,85.1944289077348,122.36573116609338,165.6355522610379,43.26982109494452,49.0,14.0,0.882,-0.252,77.10382610480494
0.11,0.0,0.12,80.0,122.64182877212744,165.75449840717494,43.11266963504746,53.0,3.0,0.954,-0.054,86.21484790916237
0.11,-0.01,0.12,74.8055710922652,122.36573116609338,165.6355522610379,43.26982109494452,53.0,-9.0,0.954,0.162,85.70297544426332
0.11,-0.02,0.12,69.69515353123397,121.54446694984358,165.2760867370148,43.73161978717121,56.0,-22.0,1.008,0.396,77.38862965578342
0.11,-0.03,0.12,64.74488129694222,120.19852829231576,164.66865798218828,44.470129689872536,56.0,-29.0,1.008,0.522,77.62087348130012
0.11,-0.04,0.12,60.016893478100016,118.36017428389415,163.80218537193858,45.44201108804442,66.0,-42.0,1.188,0.756,75.96051605933177
0.11,-0.05,0.12,55.55604521958347,116.07086228602692,162.6635340415101,46.59267175548318,61.0,-54.0,1.098,0.972,75.31268153505093
0.11,-0.06,0.12,51.389540334034784,113.3781308978084,161.23908684547888,47.86095594767048,65.0,-72.0,1.17,1.296,75.1065909225016
0.11,-0.07,0.12,47.52880770915151,110.33228740803456,159.51595664743394,49.18366923939941,65.0,-77.0,1.17,1.386,76.02631123499285
0.11,-0.08,0.12,43.97262661489639,106.98322596997389,157.48263263254333,50.49940666256946,67.0,-96.0,1.206,1.728,75.16648189186454
0.11,-0.09,0.12,40.71059313749964,103.3776328317195,155.12900328134117,51.75137044962168,66.0,-105.0,1.188,1.89,76.6550715869472
0.11,-0.1,0.12,37.72631099390626,99.55673522845954,152.44580322609056,52.889067997631024,67.0,-122.0,1.206,2.196,76.48529270389177
0.1,-0.11,0.12,32.27368900609373,99.55673522845954,152.44580322609056,52.889067997631024,52.0,-136.0,0.936,2.448,75.58438992278762
0.09,-0.13,0.12,24.695153531233963,94.08380395514152,148.2577740429466,54.17397008780505,33.0,-164.0,0.594,2.952,77.89736837660179
0.08,-0.13,0.12,21.6075022462489,97.24366133222938,150.7256931098296,53.482031777600206,17.0,-165.0,0.306,2.97,81.30190649671138
0.07,-0.13,0.12,18.300755766006382,100.14660790798168,152.87285289520293,52.72624498722122,2.0,-163.0,0.036,2.934,81.60882305241266
0.06,-0.15,0.12,11.801409486351815,92.10497830575515,146.6422365812282,54.537258275473015,-12.0,-189.0,-0.216,3.402,78.5175139698144
0.05,-0.15,0.12,8.43494882292201,94.08380395514152,148.2577740429466,54.17397008780505,-30.0,-187.0,-0.54,3.366,80.72174428244226
0.05,-0.16,0.12,7.354024636261329,88.62367714064925,143.66804214062938,55.044364999980125,-26.0,-201.0,-0.468,3.618,79.98124780221924
0.06,-0.16,0.12,10.556045219583469,86.76615186515883,142.01181052023685,55.24565865507803,-8.0,-203.0,-0.144,3.654,77.83315488916018
0.07,-0.16,0.12,13.629377730656811,84.61712771296452,140.03522620892144,55.418098495956926,6.0,-207.0,0.108,3.726,78.74642849044012
0.08,-0.16,0.12,16.56505117707799,82.19302892489164,137.72759367742165,55.53456475253002,19.0,-211.0,0.342,3.798,80.0
0.09,-0.16,0.12,19.357753542791265,79.50832530726561,135.07512834163586,55.566803034370245,38.0,-212.0,0.684,3.816,79.07591289387686
0.1,-0.16,0.12,22.0053832080835,76.57405280956132,132.05973324379266,55.48568043423134,57.0,-213.0,1.026,3.834,78.77182237323191
0.11,-0.15,0.12,26.25383773744479,78.11049018055616,133.6538000853714,55.54330990481523,71.0,-202.0,1.278,3.636,79.30952023559341
